lambda,loop,cost,gamma,ev_additive
0.1,1,10,1,53.0115626458283
0.1,1,10,500,53.011568141605
0.1,1,10,1000,53.011568141605
0.1,1,10,10,53.011568141605
0.1,1,10,50,53.011568141605
0.1,1,40,500,53.454174684561
0.1,1,10,100,53.011568141605
0.1,1,70,100,53.4541719996306
0.1,1,70,50,53.4541719996306
0.1,1,40,100,53.454174684561
0.1,1,40,1,53.4541695157462
0.1,1,70,10,53.4541719996306
0.1,1,70,1,53.4541687066889
0.1,1,40,10,53.454174684561
0.1,1,40,1000,53.454174684561
0.1,1,40,50,53.454174684561
0.1,1,70,1000,53.4541719996306
0.1,1,100,1,53.454168438764
0.1,1,100,10,53.4541762534715
0.1,1,70,500,53.4541719996306
0.1,1,400,10,53.4541801402713
0.1,1,100,1000,53.4541762534715
0.1,1,400,1,53.4541700275847
0.1,1,100,100,53.4541762534715
0.1,1,700,1,53.454170400403
0.1,1,400,500,53.4541801402713
0.1,1,400,50,53.4541801402713
0.1,1,400,100,53.4541801402713
0.1,1,100,500,53.4541762534715
0.1,1,400,1000,53.4541801402713
0.1,1,700,10,53.4541831804595
0.1,1,100,50,53.4541762534715
0.1,1,700,50,53.4541831804595
0.1,1,700,100,53.4541831804595
0.1,1,700,500,53.4541831804595
0.1,1,1000,1,53.454170400403
0.1,1,1000,10,53.4541831804595
0.1,1,4000,1,53.4541710389446
0.1,1,1000,100,53.4541831804595
0.1,1,1000,500,53.4541831804595
0.1,1,1000,1000,53.4541831804595
0.1,1,1000,50,53.4541831804595
0.1,1,4000,10,53.4541791542337
0.1,1,700,1000,53.4541831804595
0.1,1,4000,50,53.4541791542337
0.1,1,4000,100,53.4541791542337
0.1,1,4000,500,53.4541791542337
0.1,1,4000,1000,53.4541791542337
0.1,1,7000,1,53.4541689661061
0.1,1,7000,100,53.4541848571381
0.1,1,7000,10,53.4541848571381
0.1,1,7000,50,53.4541848571381
0.1,1,7000,500,53.4541848571381
0.1,1,7000,1000,53.4541848571381
0.1,1,10000,1,53.4541704475087
0.1,1,10000,100,53.4541803230916
0.1,1,10000,500,53.4541803230916
0.1,1,10000,50,53.4541803230916
0.1,1,10000,10,53.4541803230916
0.1,1,10000,1000,53.4541803230916
