Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	wheeler154	1647706877.358	   325.586	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '1'
11	wheeler155	1647706877.559	   325.627	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '11'
10	wheeler203	1647706877.538	   326.471	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '10'
9	wheeler154	1647706877.517	   327.276	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '9'
4	wheeler202	1647706877.418	   328.305	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '4'
2	wheeler203	1647706877.377	   329.276	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '2'
15	wheeler260	1647706877.637	   329.324	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '15'
16	wheeler204	1647706877.654	   330.112	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '16'
12	wheeler202	1647706877.581	   330.506	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '12'
7	wheeler260	1647706877.477	   331.052	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '7'
8	wheeler204	1647706877.498	   331.319	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '8'
3	wheeler155	1647706877.397	   331.541	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '3'
14	wheeler186	1647706877.619	   331.338	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '14'
5	wheeler205	1647706877.437	   331.723	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '5'
6	wheeler186	1647706877.457	   332.614	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '6'
13	wheeler205	1647706877.600	   332.857	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '13'
17	wheeler154	1647707202.967	   328.384	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '17'
18	wheeler155	1647707203.211	   328.713	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '18'
20	wheeler154	1647707204.814	   328.078	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '20'
27	wheeler204	1647707208.833	   324.380	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '27'
24	wheeler204	1647707207.784	   326.266	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '24'
