task,lambda,ev_all,ev_lin,ev_svr
39,0.1,-650.27563318463,-658.308181836525,30.0773923259491
130,0.1,-670.072918835076,-677.985080278369,30.167645379054
49,0.1,-470.733731715018,-478.46205466714,30.0357444714354
95,0.1,-454.475877143583,-462.177599332927,30.1769952684878
102,0.1,-397.9471833358,-405.512928783766,30.122743739374
27,0.1,-391.664765541241,-399.244117402011,30.1578068215881
29,0.1,-386.684686441433,-394.297376159037,30.2014802001763
110,0.1,-364.433355461448,-372.008646137375,30.1063457210324
20,0.1,-382.202399897811,-389.801883469045,30.1571008479309
44,0.1,-381.085408560455,-388.633127636666,30.19902766602
92,0.1,-412.717328041258,-420.361475983271,30.1432163056756
115,0.1,-332.588900378345,-340.084776869709,30.1948268282763
105,0.1,-312.994261281565,-320.438750323742,30.1679929638562
125,0.1,-257.699947244515,-265.095024908282,30.0449495168342
17,0.1,-291.572715784474,-299.024958703653,30.1467297941642
19,0.1,-302.705010974989,-310.158624135611,29.8866145808538
42,0.1,-224.046394113075,-231.388353929046,29.5510638136616
31,0.1,-227.070944332103,-234.403657832192,30.1487535931595
21,0.1,-223.070467195317,-230.41446990741,30.1749274309821
59,0.1,-180.785905842036,-188.094314572383,30.1801121279416
119,0.1,-168.283635218801,-175.547323701748,30.1543311838542
113,0.1,-133.862821750422,-141.130196971024,30.0653072438022
78,0.1,-133.798805351313,-140.992419466734,30.1688854704695
112,0.1,-95.3502511145114,-102.511569927895,30.1766096455711
3,0.1,-126.99365826806,-134.248300812434,30.1655230941075
50,0.1,-91.1835413566416,-98.3307880129836,30.196746150613
51,0.1,-230.397753885891,-237.717133415272,30.1913263499287
101,0.1,-77.5249008685728,-84.6653970901816,30.1950456750889
123,0.1,-71.270978993595,-78.359398645037,30.208909027917
114,0.1,-62.7710773178466,-69.8928850030477,30.1323092293838
13,0.1,-27.2721436604961,-34.3202277142158,30.1660431781892
14,0.1,-49.0390220674841,-56.1043916952764,30.2026556556663
