task,lambda,ev_all,ev_lin,ev_svr
2,0.1,52.1295531951938,45.3625008097656,29.9683256871934
4,0.1,24.2722582598078,17.6075058890531,29.9883321523503
1,0.1,52.703023787621,45.8025228539791,30.1172781539976
6,0.1,53.2640349284461,46.3456323504513,30.1925859146503
3,0.1,-126.99365826806,-134.248300812434,30.1655230941075
9,0.1,51.6181699079894,44.7865188391786,29.7967182226516
10,0.1,52.815060011277,46.0526678481208,29.7285496276542
8,0.1,52.8516108977885,46.0119331749121,30.1949936411793
7,0.1,53.4008709693359,46.4790527216088,30.2023010016804
11,0.1,14.953553795208,8.37836610446593,29.9485430583378
5,0.1,53.4112247181218,46.5267400234826,30.193779013145
15,0.1,52.4885954196932,45.6722704510406,29.601176800994
13,0.1,-27.2721436604961,-34.3202277142158,30.1660431781892
12,0.1,53.0639982715995,46.2462854179221,30.0239384871386
14,0.1,-49.0390220674841,-56.1043916952764,30.2026556556663
16,0.1,53.1686554154092,46.3079446808881,30.1103623723895
18,0.1,53.1303346749489,46.3298381246816,30.0011360153447
19,0.1,-302.705010974989,-310.158624135611,29.8866145808538
20,0.1,-382.202399897811,-389.801883469045,30.1571008479309
21,0.1,-223.070467195317,-230.41446990741,30.1749274309821
22,0.1,45.5236774267195,38.6720515512052,30.2137708263394
23,0.1,30.0311768463798,23.4090878766515,30.017693536713
17,0.1,-291.572715784474,-299.024958703653,30.1467297941642
24,0.1,52.4979424187516,45.7149871668438,30.0784025672965
25,0.1,53.3670059399137,46.4627857856096,30.2104572173143
26,0.1,53.3161461825758,46.4051893218186,30.1815710973364
27,0.1,-391.664765541241,-399.244117402011,30.1578068215881
28,0.1,53.179032143621,46.3215641540039,29.6140446534899
30,0.1,53.2332453421117,46.3632930124693,30.1192454579255
32,0.1,52.5049568426759,45.7910608514523,30.1445893725504
31,0.1,-227.070944332103,-234.403657832192,30.1487535931595
33,0.1,18.6471172616061,12.1376572091251,30.0463250459227
34,0.1,53.3333206356437,46.4225093098444,30.1391476686518
35,0.1,52.9925795040204,46.2628449369133,30.1154482805676
37,0.1,53.2305032912537,46.3550347245778,30.1781813248557
36,0.1,53.2872168147633,46.3256746396332,30.1506723107824
38,0.1,53.3961883043366,46.4798151562314,30.1718841207094
29,0.1,-386.684686441433,-394.297376159037,30.2014802001763
39,0.1,-650.27563318463,-658.308181836525,30.0773923259491
40,0.1,52.9288476398448,46.0391739385251,30.1974269774736
42,0.1,-224.046394113075,-231.388353929046,29.5510638136616
43,0.1,52.9508450315201,46.1223256773128,29.5029895333935
41,0.1,28.5507339497467,21.8310271965938,29.9305306617824
45,0.1,48.5958932459619,41.7397588034664,30.1818052860336
46,0.1,53.2058477442061,46.3509287349189,30.0861097154921
47,0.1,52.9020322062033,46.0510280734473,30.1800007955657
48,0.1,52.4494661161507,45.6274505612291,29.7151399611819
49,0.1,-470.733731715018,-478.46205466714,30.0357444714354
50,0.1,-91.1835413566416,-98.3307880129836,30.196746150613
51,0.1,-230.397753885891,-237.717133415272,30.1913263499287
44,0.1,-381.085408560455,-388.633127636666,30.19902766602
54,0.1,53.2794329069524,46.42380475854,29.9658255895429
52,0.1,52.9839388280384,46.1579241306484,30.1144856946174
53,0.1,53.3732921684935,46.4571683763478,30.1977122857347
55,0.1,53.3604212602342,46.4454121534949,29.1269873527727
56,0.1,40.9645656390171,34.1671071391475,30.0036428820535
58,0.1,53.1134494353988,46.2568523620948,30.0913595041971
59,0.1,-180.785905842036,-188.094314572383,30.1801121279416
60,0.1,53.2269856893077,46.3142428921667,30.1300427185672
61,0.1,53.2413074386398,46.3557404510028,30.1987156482088
62,0.1,53.3139725576567,46.3907319605233,30.1654983802337
63,0.1,52.9897099369333,46.1872520399413,30.1156390619424
64,0.1,53.2186539488346,46.3046368326949,30.1221156581461
65,0.1,53.1469737814037,46.2782002390034,30.0999463182871
57,0.1,52.8041840964217,46.0320242440458,30.1275750420288
66,0.1,44.878645402386,38.0831277256275,30.1162911544111
67,0.1,53.2262054529204,46.3595005120694,30.1828912310509
68,0.1,52.4746510707587,45.7052189592826,30.0480264905835
69,0.1,53.2598674097833,46.3596343079043,30.1849084538035
70,0.1,53.2576587387234,46.343389659474,29.8110177796897
72,0.1,53.0747788473786,46.2059570987399,29.8916738201829
73,0.1,53.2788345615547,46.3745412192127,30.1021984319338
75,0.1,53.3468428385011,46.4363791767181,30.1570645881516
74,0.1,52.914404811537,46.1489154705389,30.1465093181114
76,0.1,53.3936718506583,46.477248378507,30.2250981214127
77,0.1,53.2739597259705,46.4234228401981,30.1237399047413
78,0.1,-133.798805351313,-140.992419466734,30.1688854704695
79,0.1,53.2258155940829,46.2944633306886,30.2079773813657
71,0.1,53.0369036423787,46.2114782508286,30.1187243465628
81,0.1,24.8621193953432,18.2394916776905,30.1071960244415
80,0.1,52.9421814500764,46.0854082603457,30.1905958182452
82,0.1,33.9491985752407,27.2000011374258,30.1084737240471
83,0.1,42.9481120748375,36.1196605559511,30.0864144666273
84,0.1,53.2611846841696,46.3693472515944,30.2366341906052
86,0.1,53.1302771654115,46.2733322106291,30.0772139893985
87,0.1,53.1349008057211,46.2606224829624,30.114048889892
88,0.1,34.6875151645847,27.9140730827556,30.1369155342394
91,0.1,53.0003685304033,46.0777443854989,30.0239467221157
89,0.1,53.2464601127171,46.3707517172763,30.1050439875051
90,0.1,53.4074840337025,46.5013376996685,30.1471949487787
92,0.1,-412.717328041258,-420.361475983271,30.1432163056756
93,0.1,53.0101145733097,46.1001024344552,30.0249449860985
85,0.1,53.1358980930833,46.2307377959292,30.1656687646927
96,0.1,53.3728112073592,46.4546786861856,30.1373356329366
