task,ev_all,ev_lin,ev_svr,diff_lin,diff_svr
1,53.0854713,34.00821266,52.7689779,19.07725864,0.316493397
2,52.67910385,34.00299245,52.2524484,18.6761114,0.426655446
3,53.08068414,34.00861207,52.82100348,19.07207206,0.259680659
4,53.09573596,34.00858959,52.75060166,19.08714638,0.345134302
5,53.10539691,34.00934421,52.96815936,19.0960527,0.137237544
6,53.13475663,34.00933507,52.96374472,19.12542155,0.171011912
7,53.15506449,34.00929934,53.05610175,19.14576516,0.098962747
8,53.03839915,34.00863354,52.78408435,19.02976561,0.254314796
9,53.0586848,34.00566651,52.33746888,19.05301829,0.721215917
10,52.83314077,34.00304223,52.24918949,18.83009853,0.583951274
11,53.00423418,34.00758273,52.33541599,18.99665145,0.668818187
12,52.92293173,34.00623624,52.69982277,18.91669549,0.223108951
13,53.11075364,34.00837333,52.9903789,19.10238031,0.120374743
14,53.10113762,34.0087228,52.96184716,19.09241482,0.139290462
15,52.88694716,34.00185319,52.44020528,18.88509397,0.446741878
16,53.04268262,34.00877306,52.79513423,19.03390956,0.247548388
17,53.05481748,34.00328315,52.87954401,19.05153433,0.175273467
18,52.95859037,34.00360674,52.75311432,18.95498363,0.205476045
19,52.99460833,34.00014098,52.76793466,18.99446735,0.226673666
20,53.00451061,34.00791972,52.71905411,18.99659089,0.285456499
21,53.09019725,34.00861399,52.94659591,19.08158326,0.14360134
22,53.13109483,34.00907279,52.97685365,19.12202204,0.15424118
23,52.96045296,34.00831638,52.41034329,18.95213658,0.55010967
24,53.01763994,34.00778119,52.76177066,19.00985875,0.255869278
25,53.12998201,34.00931397,53.00579122,19.12066805,0.124190794
26,53.0784733,34.00890532,52.89852416,19.06956798,0.179949135
27,52.95440301,34.00572493,52.72164887,18.94867808,0.232754138
28,52.87204738,34.00406814,52.57039175,18.86797924,0.301655627
29,53.07327025,34.00786795,52.76086655,19.06540231,0.312403707
30,53.05022659,34.00760874,52.73598472,19.04261785,0.314241863
31,53.02651297,34.00830794,52.85230053,19.01820503,0.174212441
32,52.84723613,34.00586532,52.48496059,18.84137082,0.362275541
33,52.87791507,34.00506871,52.55047797,18.87284636,0.327437103
34,53.07354422,34.00725578,52.98360109,19.06628844,0.089943129
35,52.87166781,34.00745598,52.70275732,18.86421183,0.168910495
36,53.10165407,34.00617242,52.98934559,19.09548165,0.112308482
37,53.06514063,34.00776638,52.89987541,19.05737426,0.16526522
38,53.1186137,34.00820482,52.95207379,19.11040887,0.16653991
39,52.5433787,34.00765841,51.81260047,18.53572028,0.730778225
40,53.10483997,34.00839775,52.95841358,19.09644223,0.146426391
41,53.0718398,34.00884109,52.73384475,19.06299872,0.337995047
42,52.47450398,33.99010001,52.06373808,18.48440397,0.410765906
43,52.77032797,33.9925297,52.38075459,18.77779827,0.38957338
44,53.0543995,34.00800319,52.87853852,19.04639631,0.17586098
45,53.10218735,34.00885046,52.93571054,19.09333689,0.166476805
46,52.88349769,33.99806202,52.67178,18.88543567,0.21171769
47,53.01969047,34.00819752,52.86889154,19.01149295,0.150798929
48,52.64402787,33.99789373,52.30494685,18.64613414,0.339081023
49,52.83258454,34.0012342,52.49519892,18.83135034,0.337385617
50,53.1173418,34.00903842,53.03233372,19.10830338,0.085008081
51,53.05347473,34.00913769,52.82153786,19.04433703,0.231936869
52,53.03083987,34.00901188,52.83587509,19.02182799,0.194964784
53,53.14515346,34.00938101,53.05228447,19.13577245,0.092868988
54,53.03686085,34.00415582,52.56383645,19.03270503,0.473024401
55,52.88676598,33.98561541,52.56903003,18.90115057,0.317735957
56,53.08255824,34.00767772,52.75324349,19.07488053,0.329314751
57,52.78704836,34.0004168,52.65148989,18.78663156,0.135558468
58,53.04026658,34.00797732,52.68041266,19.03228926,0.359853924
59,53.12229034,34.00909891,52.94837582,19.11319142,0.17391452
60,53.12852613,34.00829715,52.7873102,19.12022898,0.341215935
61,53.04865702,34.00862048,52.83243675,19.04003654,0.216220266
62,53.06723925,34.00865289,52.78079473,19.05858636,0.286444518
63,53.00972537,34.00869155,52.71521801,19.00103382,0.294507362
64,53.08952512,34.00873973,52.78614202,19.08078539,0.303383101
65,53.04591282,34.00845345,52.87019452,19.03745937,0.175718308
66,52.99612525,34.00821049,52.74231523,18.98791476,0.253810017
67,53.02123457,34.00906055,52.9067291,19.01217402,0.11450547
68,52.94854737,34.00834209,52.44722471,18.94020528,0.50132266
69,53.10561845,34.00939864,52.923485,19.09621981,0.182133457
70,53.0623778,34.00708771,52.66237807,19.05529009,0.399999733
71,53.01494446,34.00619029,52.80980369,19.00875418,0.205140774
72,53.11478969,34.00872063,52.68922295,19.10606905,0.425566732
73,53.1012871,34.00911971,52.77505495,19.09216739,0.326232156
74,52.91727677,34.00666448,52.75667196,18.9106123,0.160604814
75,53.09350303,34.00911873,52.97285513,19.0843843,0.1206479
76,53.10172052,34.00914049,53.04274011,19.09258002,0.058980407
77,53.08077517,34.0092441,52.81279928,19.07153107,0.2679759
78,53.01439523,34.00680956,52.88148143,19.00758567,0.132913802
79,53.12508205,34.00917945,53.01946093,19.1159026,0.105621115
80,53.03870697,34.00858331,52.87418154,19.03012366,0.164525428
81,53.01217761,34.00883107,52.65205784,19.00334654,0.36011977
82,53.06434473,34.00879121,52.69586303,19.05555352,0.368481698
83,53.06673068,34.00810255,52.77581209,19.05862812,0.290918584
84,53.039755,34.00777743,52.9951686,19.03197757,0.044586394
85,53.09807389,34.00865647,52.96869267,19.08941743,0.129381222
86,53.02325607,34.00859292,52.73111331,19.01466315,0.292142757
87,52.99226973,34.00478283,52.67545699,18.9874869,0.316812736
88,53.06992118,34.00796786,52.70853971,19.06195332,0.361381464
89,53.04350097,34.00608942,52.87883434,19.03741155,0.164666632
90,53.12867891,34.00935552,52.96775736,19.11932339,0.160921555
91,53.02613702,34.00658783,52.8373495,19.01954919,0.188787522
92,53.06980058,34.00519007,52.77547332,19.06461051,0.29432726
93,53.15280465,34.00900084,52.78540079,19.14380381,0.367403866
94,53.16357762,34.00935939,53.0604227,19.15421823,0.103154919
95,52.96144269,33.99587844,52.82517561,18.96556426,0.136267081
96,53.1617504,34.00942104,53.00976793,19.15232936,0.151982466
97,53.07660525,34.00889087,52.94799218,19.06771438,0.128613072
98,53.00307873,34.00904993,52.7723367,18.99402879,0.230742027
99,52.95381288,34.00678166,52.72369048,18.94703122,0.230122408
100,53.14374249,34.00936113,52.99585761,19.13438136,0.14788488
101,53.14715539,34.00933152,53.02125688,19.13782387,0.125898511
102,52.748809,33.97951031,52.48112276,18.76929869,0.267686235
103,52.94833851,34.00845608,52.64972166,18.93988243,0.298616846
104,52.96731004,34.00810473,52.85757804,18.95920531,0.109732002
105,53.04686419,34.00868449,52.70525446,19.03817969,0.341609728
106,53.01682652,34.00903352,52.73932728,19.007793,0.277499234
107,53.09526493,34.00909695,52.9206253,19.08616798,0.17463963
108,53.09436238,34.00876871,52.86634954,19.08559367,0.228012835
109,53.08918287,34.00274334,53.02421745,19.08643953,0.064965422
110,53.05074913,34.00660358,52.69776065,19.04414555,0.352988484
111,52.86977335,34.00339948,52.70113809,18.86637387,0.168635262
112,53.13118749,34.00928499,52.96318429,19.12190251,0.168003208
113,52.68395229,33.96809181,52.58622836,18.71586049,0.097723937
114,53.09002162,34.00856632,52.86092702,19.08145529,0.229094601
115,53.06070929,34.0084927,52.88577347,19.05221659,0.174935816
116,53.03515165,34.00892609,52.64425243,19.02622556,0.390899221
117,53.09087833,34.00885384,52.94161046,19.08202449,0.149267875
118,53.01276445,34.00863999,52.7229524,19.00412445,0.289812044
119,53.07792098,34.00876896,52.82083601,19.06915202,0.257084974
120,53.03008618,34.00833537,52.94551647,19.02175081,0.084569708
121,53.16019503,34.00938174,53.03723275,19.15081329,0.122962278
122,52.92715662,34.00206184,52.75760166,18.92509477,0.169554956
123,53.08193126,34.00931909,52.92156119,19.07261217,0.160370062
124,53.03769623,34.00809638,52.88927461,19.02959985,0.148421617
125,53.04995159,34.00752721,52.90425027,19.04242438,0.145701323
126,53.13513937,34.00859933,53.01220257,19.12654004,0.122936802
127,52.961324,34.00679237,52.5003509,18.95453163,0.460973099
128,53.07743829,34.00901071,53.03503876,19.06842758,0.042399529
129,52.90878424,33.99625247,52.6659714,18.91253177,0.242812836
130,52.94869178,34.00781412,52.19729325,18.94087766,0.751398529
131,53.10317502,34.00932534,52.93231181,19.09384968,0.170863206
132,53.0806724,34.0091844,52.88085427,19.071488,0.199818129
133,53.03053014,34.00237081,52.67255685,19.02815933,0.357973291
134,52.94152403,33.99910462,52.42320553,18.94241941,0.518318508
135,53.11067046,34.00923059,52.81795773,19.10143988,0.292712729
136,53.13055577,34.00932365,53.01617225,19.12123212,0.114383527
137,53.04899309,34.00792361,52.85332458,19.04106948,0.19566851
138,53.02071286,34.00846718,52.81953727,19.01224567,0.201175587
139,53.12556068,34.00903576,53.04582778,19.11652491,0.079732901
